state,birth_year,birth_month,LBW_ratio,latitude,longitude,mp1,mp2,mp3,mp4,mp5
Florida,2016.0,3,0.0811044003451251,28.6305,-82.4497,0.0042857142857142,0.090625,0.1615,0.01975,1304.3478260869565
Florida,2016.0,4,0.0877984690963098,28.6305,-82.4497,0.005,0.0426,0.0802,0.001,1081.081081081081
Florida,2016.0,5,0.0903768956289027,28.6305,-82.4497,0.005,0.323,0.0158,0.1694,850.0
Florida,2016.0,6,0.0882224645583424,28.6305,-82.4497,246.90772115384615,0.1615,0.01975,1304.3478260869565,493.6539423076923
Florida,2016.0,7,0.0882878151260504,28.6305,-82.4497,267.4337904761905,0.0802,0.001,1081.081081081081,534.787380952381
Florida,2016.0,8,0.0883552108194112,28.6305,-82.4497,0.323,0.0158,360.6800887096774,850.0,721.0371774193549
Florida,2016.0,9,0.0846905537459283,28.6305,-82.4497,0.1615,0.01975,1304.3478260869565,493.6539423076923,728.251090909091
Florida,2017.0,1,0.0862189670956971,28.6305,-82.4497,0.001,1081.081081081081,534.787380952381,734.407,400.8
Florida,2017.0,10,0.0866061409772518,28.6305,-82.4497,734.407,400.8,926.5731343283584,734.407,734.407
Florida,2017.0,11,0.0885386669459134,28.6305,-82.4497,2.43875,334.17380952380944,1161.302,334.17380952380944,334.17380952380944
Florida,2017.0,12,0.0883312933496532,28.6305,-82.4497,919.4773892773893,607.189393939394,1231.7653846153846,919.4773892773893,919.4773892773893
Florida,2017.0,2,0.0855514425054351,28.6305,-82.4497,527.6054934715821,850.0,721.0371774193549,2.43875,334.17380952380944
Florida,2017.0,3,0.0880424090064487,28.6305,-82.4497,1304.3478260869565,493.6539423076923,728.251090909091,667.7202424242425,607.189393939394
Florida,2017.0,4,0.0870417681658843,28.6305,-82.4497,1081.081081081081,534.787380952381,734.407,400.8,926.5731343283584
Florida,2017.0,5,0.0885025681548794,28.6305,-82.4497,850.0,721.0371774193549,2.43875,334.17380952380944,1161.302
Florida,2017.0,6,0.0922871154703522,28.6305,-82.4497,493.6539423076923,728.251090909091,667.7202424242425,607.189393939394,1231.7653846153846
