Unnamed: 0.1,Unnamed: 0,state,birth_year,birth_month,LBW_ratio,latitude,longitude,mp1,mp2,mp3,mp4,mp5,Degree Farenheit
228,228,Delaware,2020,1,0.083333333,38.9896,-75.505,,,,,,40.2
229,229,Delaware,2020,10,0.083146067,38.9896,-75.505,,,,,,60.4
230,230,Delaware,2020,11,0.081924577,38.9896,-75.505,,,,,,59.6
231,231,Delaware,2020,12,0.085714286,38.9896,-75.505,,,,,,58
232,232,Delaware,2020,2,0.079589217,38.9896,-75.505,,,,,,41.1
233,233,Delaware,2020,3,0.079856973,38.9896,-75.505,,,,,,43.9
234,234,Delaware,2020,4,0.085025381,38.9896,-75.505,,,,,,45.9
235,235,Delaware,2020,5,0.044032445,38.9896,-75.505,,,,,,48.8
236,236,Delaware,2020,6,0.089467724,38.9896,-75.505,,,,,,53
237,237,Delaware,2020,7,0.072687225,38.9896,-75.505,,,,,,56.9
238,238,Delaware,2020,8,0.075291622,38.9896,-75.505,,,,,,59.5
239,239,Delaware,2020,9,0.062363239,38.9896,-75.505,,,,,,60.5
240,240,Florida,2016,1,0.088714083,28.6305,-82.4497,0.005272727,0.005,,0.0802,0.001,56.9
241,241,Florida,2016,10,0.086983632,28.6305,-82.4497,0.0802,0.001,1081.081081,534.787381,734.407,73.7
242,242,Florida,2016,11,0.085412218,28.6305,-82.4497,0.0158,,850,721.0371774,2.43875,73.1
243,243,Florida,2016,12,0.088084245,28.6305,-82.4497,0.01975,1304.347826,493.6539423,728.2510909,,72.5
244,244,Florida,2016,2,0.087081017,28.6305,-82.4497,0.0045,0.005,0.323,0.0158,,58.2
245,245,Florida,2016,3,0.0811044,28.6305,-82.4497,0.004285714,,0.1615,0.01975,1304.347826,61.7
246,246,Florida,2016,4,0.087798469,28.6305,-82.4497,0.005,,0.0802,0.001,1081.081081,64.1
247,247,Florida,2016,5,0.090376896,28.6305,-82.4497,0.005,0.323,0.0158,,850,66.5
248,248,Florida,2016,6,0.088222465,28.6305,-82.4497,,0.1615,0.01975,1304.347826,493.6539423,69.1
249,249,Florida,2016,7,0.088287815,28.6305,-82.4497,,0.0802,0.001,1081.081081,534.787381,71.2
250,250,Florida,2016,8,0.088355211,28.6305,-82.4497,0.323,0.0158,,850,721.0371774,72.7
251,251,Florida,2016,9,0.084690554,28.6305,-82.4497,0.1615,0.01975,1304.347826,493.6539423,728.2510909,73.6
252,252,Florida,2017,1,0.086218967,28.6305,-82.4497,0.001,1081.081081,534.787381,734.407,400.8,62.8
253,253,Florida,2017,10,0.086606141,28.6305,-82.4497,734.407,400.8,926.5731343,,,74.5
254,254,Florida,2017,11,0.088538667,28.6305,-82.4497,2.43875,334.1738095,1161.302,,,73.9
255,255,Florida,2017,12,0.088331293,28.6305,-82.4497,,607.1893939,1231.765385,,,72.8
256,256,Florida,2017,2,0.085551443,28.6305,-82.4497,,850,721.0371774,2.43875,334.1738095,64.2
257,257,Florida,2017,3,0.088042409,28.6305,-82.4497,1304.347826,493.6539423,728.2510909,,607.1893939,64.8
258,258,Florida,2017,4,0.087041768,28.6305,-82.4497,1081.081081,534.787381,734.407,400.8,926.5731343,66.7
259,259,Florida,2017,5,0.088502568,28.6305,-82.4497,850,721.0371774,2.43875,334.1738095,1161.302,68.8
260,260,Florida,2017,6,0.092287115,28.6305,-82.4497,493.6539423,728.2510909,,607.1893939,1231.765385,70.7
261,261,Florida,2017,7,0.089331721,28.6305,-82.4497,534.787381,734.407,400.8,926.5731343,,72.4
262,262,Florida,2017,8,0.088225214,28.6305,-82.4497,721.0371774,2.43875,334.1738095,1161.302,,73.7
